base,ligand,solvent,concentration,temperature,yield,cost
KOAc,BrettPhos,DMAc,0.1,105,5.47,0.1457754819999999
KOAc,PPhtBu2,DMAc,0.1,105,0.0,0.04320091
KOAc,tBPh-CPhos,DMAc,0.1,105,78.95,0.269139791
KOAc,PCy3 HBF4,DMAc,0.1,105,7.26,0.032180612
KOAc,PPh3,DMAc,0.1,105,28.15,0.026372917
KOAc,X-Phos,DMAc,0.1,105,65.37,0.034677571
KOPiv,BrettPhos,DMAc,0.1,105,0.07,0.144665615
KOPiv,PPhtBu2,DMAc,0.1,105,0.0,0.042106611
KOPiv,tBPh-CPhos,DMAc,0.1,105,28.64,0.267900458
KOPiv,PCy3 HBF4,DMAc,0.1,105,10.44,0.03109548
KOPiv,PPh3,DMAc,0.1,105,63.13,0.025379457
KOPiv,X-Phos,DMAc,0.1,105,77.41,0.03361798
CsOAc,BrettPhos,DMAc,0.1,105,4.74,0.191273824
CsOAc,PPhtBu2,DMAc,0.1,105,0.0,0.088701357
CsOAc,tBPh-CPhos,DMAc,0.1,105,29.31,0.314497136
CsOAc,PCy3 HBF4,DMAc,0.1,105,12.83,0.077697116
CsOAc,PPh3,DMAc,0.1,105,62.82,0.07197331
CsOAc,X-Phos,DMAc,0.1,105,87.83,0.080242764
CsOPiv,BrettPhos,DMAc,0.1,105,0.0,0.232133425
CsOPiv,PPhtBu2,DMAc,0.1,105,0.0,0.129574623
CsOPiv,tBPh-CPhos,DMAc,0.1,105,7.62,0.355307874
CsOPiv,PCy3 HBF4,DMAc,0.1,105,8.85,0.118558908
CsOPiv,PPh3,DMAc,0.1,105,52.05,0.112815528
CsOPiv,X-Phos,DMAc,0.1,105,29.16,0.120946897
KOAc,BrettPhos,BuCN,0.1,105,18.44,0.163723596
KOAc,PPhtBu2,BuCN,0.1,105,0.0,0.061023208
KOAc,tBPh-CPhos,BuCN,0.1,105,6.17,0.286781867
KOAc,PCy3 HBF4,BuCN,0.1,105,0.0,0.049981981
KOAc,PPh3,BuCN,0.1,105,6.24,0.044161977
KOAc,X-Phos,BuCN,0.1,105,47.3,0.052674599
KOPiv,BrettPhos,BuCN,0.1,105,56.05,0.162918073
KOPiv,PPhtBu2,BuCN,0.1,105,0.0,0.059928908
KOPiv,tBPh-CPhos,BuCN,0.1,105,6.39,0.285689257
KOPiv,PCy3 HBF4,BuCN,0.1,105,0.35,0.048890369
KOPiv,PPh3,BuCN,0.1,105,4.28,0.043052628
KOPiv,X-Phos,BuCN,0.1,105,56.14,0.051648175
CsOAc,BrettPhos,BuCN,0.1,105,64.48,0.209577546
CsOAc,PPhtBu2,BuCN,0.1,105,0.0,0.106523654
CsOAc,tBPh-CPhos,BuCN,0.1,105,5.88,0.332280087
CsOAc,PCy3 HBF4,BuCN,0.1,105,0.57,0.095486804
CsOAc,PPh3,BuCN,0.1,105,3.21,0.089639158
CsOAc,X-Phos,BuCN,0.1,105,83.83,0.09845553
CsOPiv,BrettPhos,BuCN,0.1,105,55.41,0.250381171
CsOPiv,PPhtBu2,BuCN,0.1,105,0.0,0.14739692
CsOPiv,tBPh-CPhos,BuCN,0.1,105,5.41,0.373149744
CsOPiv,PCy3 HBF4,BuCN,0.1,105,0.33,0.136358227
CsOPiv,PPh3,BuCN,0.1,105,3.44,0.13051419
