drug_input,solid_lipid,solid_lipid_input,liquid_lipid_input,surfractant_input,drug_loading,encap_efficiency,particle_diameter
6,Stearic_acid,120,0,0.0,0.0019846911700342,0.0397740188243651,2.71782475275849
6,Stearic_acid,120,0,0.0025,0.0055606201951665,0.1118452909489137,3.259465418928601
6,Stearic_acid,120,0,0.005,0.0107560443899412,0.1930191486119415,3.601794950681912
6,Stearic_acid,120,0,0.01,0.0084028158472978,0.1941150791670665,3.635672749218724
6,Stearic_acid,120,12,0.0,0.001873123285736,0.0388517624039806,2.5592941908849243
6,Stearic_acid,120,12,0.0025,0.0066871582949047,0.1300958040256086,3.461838281086503
6,Stearic_acid,120,12,0.005,0.0104184931382396,0.192061151908865,3.6017773057522957
6,Stearic_acid,120,12,0.01,0.0082550236218674,0.1903032454638913,3.637636071261116
6,Stearic_acid,120,24,0.0,0.0018597729957693,0.0384106863525105,2.5907122893291903
6,Stearic_acid,120,24,0.0025,0.0066895571705498,0.1301212811993847,3.475018029589016
6,Stearic_acid,120,24,0.005,0.010362391946583,0.1877527271475744,3.6021578994732057
6,Stearic_acid,120,24,0.01,0.0081622325920681,0.1861856985645796,3.637009851373915
6,Stearic_acid,120,48,0.0,0.0018913199747936,0.0388292654988571,2.6186468270468186
6,Stearic_acid,120,48,0.0025,0.0066954231618343,0.1345400348120106,3.4781394000299426
6,Stearic_acid,120,48,0.005,0.0099655881572985,0.1858985278868179,3.5976855028817467
6,Stearic_acid,120,48,0.01,0.0078322343488482,0.1885197412061539,3.637020803265748
6,Stearic_acid,108,0,0.0,0.0019402965830903,0.0387635704243417,2.545189002685095
6,Stearic_acid,108,0,0.0025,0.0070733574388596,0.1358014662941898,3.473340751224683
6,Stearic_acid,108,0,0.005,0.0111829566574637,0.1955447668928818,3.597980429975956
6,Stearic_acid,108,0,0.01,0.0084684112997933,0.1877869092449377,3.6369795827442415
6,Stearic_acid,108,12,0.0,0.0016749841386063,0.0335584265672171,2.596390234236829
6,Stearic_acid,108,12,0.0025,0.0063142157093006,0.1270882910081098,3.4436502627960968
6,Stearic_acid,108,12,0.005,0.0109974883962291,0.1953824993874209,3.599999360926368
6,Stearic_acid,108,12,0.01,0.0084405669499488,0.1911011821417032,3.637805305079424
6,Stearic_acid,108,24,0.0,0.0019202160333659,0.0390285814193456,2.5892376770777057
6,Stearic_acid,108,24,0.0025,0.0069951342295166,0.1376184013679096,3.475950308413838
6,Stearic_acid,108,24,0.005,0.0107611077816475,0.1946362223455076,3.5975359476394
6,Stearic_acid,108,24,0.01,0.0085354079465138,0.1964666289273737,3.637121293645689
6,Stearic_acid,108,48,0.0,0.0019767246666785,0.0397614000393364,2.6500703724125536
6,Stearic_acid,108,48,0.0025,0.0071332574966852,0.1363101547258202,3.4882677192721303
6,Stearic_acid,108,48,0.005,0.0100233698915853,0.1953009671829387,3.600651495775993
6,Stearic_acid,108,48,0.01,0.0081507745300339,0.1881917028427454,3.63732720469186
6,Stearic_acid,96,0,0.0,0.00200782361768,0.0398069675570511,2.5828556720554
6,Stearic_acid,96,0,0.0025,0.0075015421120506,0.1400231072068361,3.4565814968441986
6,Stearic_acid,96,0,0.005,0.0117263063217823,0.1995958557120144,3.599861034275595
6,Stearic_acid,96,0,0.01,0.0086012153588359,0.1946494544302368,3.637414150329251
6,Stearic_acid,96,12,0.0,0.0019833526050551,0.0398946289013281,2.582665876350419
6,Stearic_acid,96,12,0.0025,0.0076598217116562,0.1413667583780886,3.4761407068598627
6,Stearic_acid,96,12,0.005,0.0118949612765835,0.2055989266521825,3.600880504478138
6,Stearic_acid,96,12,0.01,0.0084964978889055,0.1961975788560782,3.637837268736879
6,Stearic_acid,96,24,0.0,0.0019921160304796,0.0399220091162019,2.525712804052039
6,Stearic_acid,96,24,0.0025,0.0072193773462525,0.1454390871958799,3.4471482079035534
6,Stearic_acid,96,24,0.005,0.0111630799911791,0.2006519742885428,3.5986655772331013
6,Stearic_acid,96,24,0.01,0.0083868640433013,0.1952827153665053,3.6370194333117873
6,Stearic_acid,96,48,0.0,0.0020302962362499,0.0403738664560547,2.6687730922428523
6,Stearic_acid,96,48,0.0025,0.0073962877577222,0.1455971077379819,3.5064605492041
6,Stearic_acid,96,48,0.005,0.0106135589655424,0.1992343741998139,3.595460239063182
6,Stearic_acid,96,48,0.01,0.008522469548767,0.1975706902349787,3.636594033582521
6,Stearic_acid,72,0,0.0,0.0021588958832036,0.0422397539864578,2.56263255390639
6,Stearic_acid,72,0,0.0025,0.0085043005158669,0.1537953014920002,3.480022618464894
6,Stearic_acid,72,0,0.005,0.0130053406235173,0.2163506321643264,3.595436996284966
6,Stearic_acid,72,0,0.01,0.009237826946861,0.2070318745052239,3.63678833871929
6,Stearic_acid,72,12,0.0,0.002137414190187,0.0414984044351782,2.620050917628736
6,Stearic_acid,72,12,0.0025,0.0083941922175866,0.1537567262252988,3.4926884987846947
6,Stearic_acid,72,12,0.005,0.0123410272756483,0.214520873194058,3.59634394644122
6,Stearic_acid,72,12,0.01,0.0089101839806291,0.2032590907428291,3.636692823129791
6,Stearic_acid,72,24,0.0,0.0022034703551276,0.0423797197963943,2.687075284361133
6,Stearic_acid,72,24,0.0025,0.0086386026297026,0.1572217224686137,3.51028121728821
6,Stearic_acid,72,24,0.005,0.01214673803751,0.2117780907337771,3.59272250991024
6,Stearic_acid,72,24,0.01,0.0089173332669664,0.1978496530106543,3.6364697392850314
6,Stearic_acid,72,48,0.0,0.0026621458247371,0.0533891256733558,2.8053366243751148
6,Stearic_acid,72,48,0.0025,0.009424153427099,0.1902801456224471,3.6434465568390086
6,Stearic_acid,72,48,0.005,0.0118190403925883,0.2164964999075404,3.59440122208232
6,Stearic_acid,72,48,0.01,0.0087273452720466,0.2002022347396713,3.63595181154948
6,Compritol_888,120,0,0.0,0.0015437692435177,0.0309235171696149,1.629593065055699
6,Compritol_888,120,0,0.0025,0.0167606605611948,0.3409304543877905,1.093495228806861
