tau,equiv_pldn,conc_dfnb,temperature,sty,e_factor
0.5,1.0,0.1,30.0,412.3495839287657,235.2112331970266
0.5,1.0,0.1,52.5,815.2954711827507,118.41827666896228
0.5,1.0,0.1,75.0,1271.58694468066,75.53004707200589
0.5,1.0,0.1,97.5,1650.0601055298073,57.952150831936166
0.5,1.0,0.1,120.0,1899.8047897178035,50.18751387396503
0.5,1.0,0.2,30.0,1407.8072156843823,70.07870084436325
0.5,1.0,0.2,52.5,2430.3916994501665,40.12982713375164
0.5,1.0,0.2,75.0,3305.7671183853627,29.21085430709891
0.5,1.0,0.2,97.5,3864.8518492077988,24.824367701120416
0.5,1.0,0.2,120.0,4159.23931492131,22.987410965205438
0.5,1.0,0.3,30.0,2762.25444239853,36.17708764681985
0.5,1.0,0.3,52.5,4355.814361471248,22.538606858300067
0.5,1.0,0.3,75.0,5501.990817805709,17.61270971585983
0.5,1.0,0.3,97.5,6134.518284752584,15.681286364008672
0.5,1.0,0.3,120.0,6424.180214688107,14.922504036894868
0.5,1.0,0.4,30.0,4353.580745323522,23.186084105754887
0.5,1.0,0.4,52.5,6430.098282589901,15.342212909950508
0.5,1.0,0.4,75.0,7755.915721827665,12.529852591451313
0.5,1.0,0.4,97.5,8414.197453589473,11.461450205417409
0.5,1.0,0.4,120.0,8684.397313590756,11.068507229832807
0.5,1.0,0.5,30.0,6106.956834657709,16.66559170325456
0.5,1.0,0.5,52.5,8589.737768556806,11.52946136775302
0.5,1.0,0.5,75.0,10032.269675441557,9.711662458182632
0.5,1.0,0.5,97.5,10694.522326031625,9.040021411302945
0.5,1.0,0.5,120.0,10938.297984808696,8.811969688565073
0.5,1.8,0.1,30.0,693.0853985165076,140.478072571194
0.5,1.8,0.1,52.5,1278.6655879248951,75.64012241217365
0.5,1.8,0.1,75.0,1828.4542496707777,52.56383044786395
0.5,1.8,0.1,97.5,2156.66605248601,44.393668474426306
0.5,1.8,0.1,120.0,2244.7967212142944,42.601710879031515
0.5,1.8,0.2,30.0,2252.6867211742374,43.98889822643431
0.5,1.8,0.2,52.5,3540.5688430252594,27.586470804513688
0.5,1.8,0.2,75.0,4330.76570881656,22.349142862116352
0.5,1.8,0.2,97.5,4521.19589447825,21.35533160165396
0.5,1.8,0.2,120.0,4345.211256551913,22.25381064187136
0.5,1.8,0.3,30.0,4257.140440877628,23.568110574507767
0.5,1.8,0.3,52.5,6029.9327325530685,16.313700822279753
0.5,1.8,0.3,75.0,6773.916366222633,14.39660232221322
0.5,1.8,0.3,97.5,6691.130243127843,14.579427982629923
0.5,1.8,0.3,120.0,6224.312269501592,15.739602647424428
0.5,1.8,0.4,30.0,6507.192541247591,15.567514375377387
0.5,1.8,0.4,52.5,8559.48292399463,11.56852036203118
0.5,1.8,0.4,75.0,9108.620561553118,10.798861155824193
0.5,1.8,0.4,97.5,8728.120833663657,11.305986709451888
0.5,1.8,0.4,120.0,7942.04132463164,12.513690176443689
0.5,1.8,0.5,30.0,8897.572894800134,11.476505089490358
0.5,1.8,0.5,52.5,11068.778336751604,9.006275760387432
0.5,1.8,0.5,75.0,11349.600565406074,8.748958492594692
0.5,1.8,0.5,97.5,10663.109295504917,9.36882012540588
0.5,1.8,0.5,120.0,9524.006684220536,10.596613998888268
0.5,2.6,0.1,30.0,935.7540070837989,104.49231748386978
0.5,2.6,0.1,52.5,1613.1626526778423,60.15033116738064
0.5,2.6,0.1,75.0,2108.847596219938,45.75056921233698
0.5,2.6,0.1,97.5,2259.831337774625,42.614333753672604
0.5,2.6,0.1,120.0,2176.114324011165,44.284626855944744
0.5,2.6,0.2,30.0,2898.7213812799514,34.41075761147505
0.5,2.6,0.2,52.5,4139.337221920827,23.76536672697325
0.5,2.6,0.2,75.0,4550.682683283584,21.511967528855973
0.5,2.6,0.2,97.5,4369.408921226998,22.438019158202664
0.5,2.6,0.2,120.0,3939.4483182098875,24.98470189441013
0.5,2.6,0.3,30.0,5274.26536404885,19.198710652371243
0.5,2.6,0.3,52.5,6688.331517124754,14.903500796384291
0.5,2.6,0.3,75.0,6772.419176236186,14.696110341893789
0.5,2.6,0.3,97.5,6239.570921094853,16.02716005148345
0.5,2.6,0.3,120.0,5374.41894826703,18.751551291016256
0.5,2.6,0.4,30.0,7814.076835256545,13.128546747242257
0.5,2.6,0.4,52.5,9133.77767937648,11.067857669397029
0.5,2.6,0.4,75.0,8850.059476989909,11.44635383067502
0.5,2.6,0.4,97.5,7927.092112928038,12.883511078201963
