,L0,L1,L2,L3,L4,L5,L6,res_time,temperature,catalyst_loading,yield,turnover
0,1,0,0,0,0,0,0,60.0,30.0,0.498,0,0.510083
1,1,0,0,0,0,0,0,60.0,30.0,0.75,0.337674,1.15799
2,1,0,0,0,0,0,0,60.0,30.0,1.0,1.19225,1.91506
3,1,0,0,0,0,0,0,60.0,30.0,1.25,1.87484,2.72653
4,1,0,0,0,0,0,0,60.0,30.0,1.5,2.49383,3.57128
5,1,0,0,0,0,0,0,60.0,30.0,1.75,3.02937,4.29237
6,1,0,0,0,0,0,0,60.0,30.0,2.0,3.50356,4.91384
7,1,0,0,0,0,0,0,60.0,30.0,2.25,3.85534,5.39132
8,1,0,0,0,0,0,0,60.0,30.0,2.515,4.26309,5.64896
9,1,0,0,0,0,0,0,60.0,40.0,0.498,0.852722,2.80398
10,1,0,0,0,0,0,0,60.0,40.0,0.75,2.98885,4.2467
11,1,0,0,0,0,0,0,60.0,40.0,1.0,4.63191,5.16526
12,1,0,0,0,0,0,0,60.0,40.0,1.25,5.57038,5.75593
13,1,0,0,0,0,0,0,60.0,40.0,1.5,6.03613,6.2148
14,1,0,0,0,0,0,0,60.0,40.0,1.75,6.71684,6.63233
15,1,0,0,0,0,0,0,60.0,40.0,2.0,7.41777,7.04059
16,1,0,0,0,0,0,0,60.0,40.0,2.25,8.03676,7.38389
17,1,0,0,0,0,0,0,60.0,40.0,2.515,8.90583,7.46718
18,1,0,0,0,0,0,0,60.0,50.0,0.498,3.04305,6.3184
19,1,0,0,0,0,0,0,60.0,50.0,0.75,6.248,7.8734
20,1,0,0,0,0,0,0,60.0,50.0,1.0,9.15555,9.09771
21,1,0,0,0,0,0,0,60.0,50.0,1.25,11.1605,9.70122
22,1,0,0,0,0,0,0,60.0,50.0,1.5,12.2511,9.9802
23,1,0,0,0,0,0,0,60.0,50.0,1.75,13.1652,10.1765
24,1,0,0,0,0,0,0,60.0,50.0,2.0,14.1086,10.4007
25,1,0,0,0,0,0,0,60.0,50.0,2.25,14.8825,10.238
26,1,0,0,0,0,0,0,60.0,50.0,2.515,15.6528,9.84958
27,1,0,0,0,0,0,0,60.0,60.0,0.498,5.39898,9.98881
28,1,0,0,0,0,0,0,60.0,60.0,0.75,10.0677,11.5034
29,1,0,0,0,0,0,0,60.0,60.0,1.0,14.1143,12.8856
30,1,0,0,0,0,0,0,60.0,60.0,1.25,17.1462,13.8004
31,1,0,0,0,0,0,0,60.0,60.0,1.5,19.0709,14.2145
32,1,0,0,0,0,0,0,60.0,60.0,1.75,20.4718,14.2475
33,1,0,0,0,0,0,0,60.0,60.0,2.0,21.5015,13.9348
34,1,0,0,0,0,0,0,60.0,60.0,2.25,22.4823,13.4525
