,L0,L1,L2,L3,L4,L5,L6,res_time,temperature,catalyst_loading,yield,turnover
0,1,0,0,0,0,0,0,60.0,30.0,0.498,3.37918,2.72498
1,1,0,0,0,0,0,0,60.0,30.0,0.75,4.58056,3.28243
2,1,0,0,0,0,0,0,60.0,30.0,1.0,5.46126,3.68859
3,1,0,0,0,0,0,0,60.0,30.0,1.25,5.977,3.90064
4,1,0,0,0,0,0,0,60.0,30.0,1.5,6.04694,3.87947
5,1,0,0,0,0,0,0,60.0,30.0,1.75,5.85668,3.65067
6,1,0,0,0,0,0,0,60.0,30.0,2.0,5.33796,3.21689
7,1,0,0,0,0,0,0,60.0,30.0,2.25,4.60767,2.61078
8,1,0,0,0,0,0,0,60.0,30.0,2.515,3.75112,1.80365
9,1,0,0,0,0,0,0,60.0,40.0,0.498,3.87123,3.30334
10,1,0,0,0,0,0,0,60.0,40.0,0.75,5.20207,3.89081
11,1,0,0,0,0,0,0,60.0,40.0,1.0,6.27662,4.36731
12,1,0,0,0,0,0,0,60.0,40.0,1.25,6.98554,4.65425
13,1,0,0,0,0,0,0,60.0,40.0,1.5,7.25634,4.6986
14,1,0,0,0,0,0,0,60.0,40.0,1.75,7.17248,4.47243
15,1,0,0,0,0,0,0,60.0,40.0,2.0,6.73461,3.99118
16,1,0,0,0,0,0,0,60.0,40.0,2.25,6.09603,3.3122
17,1,0,0,0,0,0,0,60.0,40.0,2.515,5.31571,2.49379
18,1,0,0,0,0,0,0,60.0,50.0,0.498,4.18711,3.83856
19,1,0,0,0,0,0,0,60.0,50.0,0.75,5.65881,4.47454
20,1,0,0,0,0,0,0,60.0,50.0,1.0,6.84525,4.95387
21,1,0,0,0,0,0,0,60.0,50.0,1.25,7.74939,5.30835
22,1,0,0,0,0,0,0,60.0,50.0,1.5,8.20269,5.39654
23,1,0,0,0,0,0,0,60.0,50.0,1.75,8.21222,5.16059
24,1,0,0,0,0,0,0,60.0,50.0,2.0,7.9075,4.63222
25,1,0,0,0,0,0,0,60.0,50.0,2.25,7.45126,3.96151
26,1,0,0,0,0,0,0,60.0,50.0,2.515,6.84787,3.12373
27,1,0,0,0,0,0,0,60.0,60.0,0.498,4.33649,4.34033
28,1,0,0,0,0,0,0,60.0,60.0,0.75,5.87649,4.9955
29,1,0,0,0,0,0,0,60.0,60.0,1.0,7.19019,5.50615
30,1,0,0,0,0,0,0,60.0,60.0,1.25,8.20668,5.84422
31,1,0,0,0,0,0,0,60.0,60.0,1.5,8.86532,5.97897
32,1,0,0,0,0,0,0,60.0,60.0,1.75,9.05646,5.72461
33,1,0,0,0,0,0,0,60.0,60.0,2.0,8.98181,5.22526
34,1,0,0,0,0,0,0,60.0,60.0,2.25,8.658,4.54057
35,1,0,0,0,0,0,0,60.0,60.0,2.515,8.17632,3.64351
36,1,0,0,0,0,0,0,60.0,70.0,0.498,4.41505,4.81643
37,1,0,0,0,0,0,0,60.0,70.0,0.75,6.04632,5.5183
38,1,0,0,0,0,0,0,60.0,70.0,1.0,7.46025,6.04079
39,1,0,0,0,0,0,0,60.0,70.0,1.25,8.55764,6.34315
40,1,0,0,0,0,0,0,60.0,70.0,1.5,9.26467,6.38105
41,1,0,0,0,0,0,0,60.0,70.0,1.75,9.79729,6.20602
42,1,0,0,0,0,0,0,60.0,70.0,2.0,9.99139,5.7607
43,1,0,0,0,0,0,0,60.0,70.0,2.25,9.91024,5.08981
44,1,0,0,0,0,0,0,60.0,70.0,2.515,9.52364,4.16926
45,1,0,0,0,0,0,0,60.0,80.0,0.498,4.45702,5.2791
46,1,0,0,0,0,0,0,60.0,80.0,0.75,6.12062,5.98136
47,1,0,0,0,0,0,0,60.0,80.0,1.0,7.52467,6.464
48,1,0,0,0,0,0,0,60.0,80.0,1.25,8.66331,6.68886
49,1,0,0,0,0,0,0,60.0,80.0,1.5,9.51336,6.69548
50,1,0,0,0,0,0,0,60.0,80.0,1.75,10.2718,6.50921
51,1,0,0,0,0,0,0,60.0,80.0,2.0,10.7695,6.14185
52,1,0,0,0,0,0,0,60.0,80.0,2.25,10.9036,5.49337
53,1,0,0,0,0,0,0,60.0,80.0,2.515,10.6752,4.59319
54,1,0,0,0,0,0,0,60.0,90.0,0.498,4.43766,5.6885
55,1,0,0,0,0,0,0,60.0,90.0,0.75,6.14639,6.38572
56,1,0,0,0,0,0,0,60.0,90.0,1.0,7.46878,6.78317
57,1,0,0,0,0,0,0,60.0,90.0,1.25,8.66763,6.97541
58,1,0,0,0,0,0,0,60.0,90.0,1.5,9.7359,6.95471
59,1,0,0,0,0,0,0,60.0,90.0,1.75,10.6067,6.74587
60,1,0,0,0,0,0,0,60.0,90.0,2.0,11.3847,6.39271
61,1,0,0,0,0,0,0,60.0,90.0,2.25,11.7464,5.79893
62,1,0,0,0,0,0,0,60.0,90.0,2.515,11.781,4.99108
63,1,0,0,0,0,0,0,60.0,100.0,0.498,4.32129,6.03681
64,1,0,0,0,0,0,0,60.0,100.0,0.75,5.96186,6.65161
65,1,0,0,0,0,0,0,60.0,100.0,1.0,7.34425,7.03052
66,1,0,0,0,0,0,0,60.0,100.0,1.25,8.59811,7.17391
67,1,0,0,0,0,0,0,60.0,100.0,1.5,9.7651,7.14004
68,1,0,0,0,0,0,0,60.0,100.0,1.75,10.8884,6.93857
69,1,0,0,0,0,0,0,60.0,100.0,2.0,11.854,6.5681
70,1,0,0,0,0,0,0,60.0,100.0,2.25,12.492,6.04815
71,1,0,0,0,0,0,0,60.0,100.0,2.515,12.9056,5.31824
72,1,0,0,0,0,0,0,60.0,110.0,0.498,4.16801,6.30772
73,1,0,0,0,0,0,0,60.0,110.0,0.75,5.73783,6.86815
74,1,0,0,0,0,0,0,60.0,110.0,1.0,7.21249,7.20782
75,1,0,0,0,0,0,0,60.0,110.0,1.25,8.57757,7.35538
76,1,0,0,0,0,0,0,60.0,110.0,1.5,9.89948,7.31844
77,1,0,0,0,0,0,0,60.0,110.0,1.75,11.2438,7.12705
