,L0,L1,L2,L3,L4,L5,L6,res_time,temperature,catalyst_loading,yield,turnover
0,1,0,0,0,0,0,0,60.0,30.0,0.499,1.30164,1.45424
1,1,0,0,0,0,0,0,60.0,30.0,0.75,2.34411,1.843
2,1,0,0,0,0,0,0,60.0,30.0,1.0,3.00792,2.3207
3,1,0,0,0,0,0,0,60.0,30.0,1.25,4.03498,3.16677
4,1,0,0,0,0,0,0,60.0,30.0,1.5,5.28729,4.11787
5,1,0,0,0,0,0,0,60.0,30.0,1.75,6.42629,4.93136
6,1,0,0,0,0,0,0,60.0,30.0,2.0,7.44948,5.56119
7,1,0,0,0,0,0,0,60.0,30.0,2.25,8.05295,5.67634
8,1,0,0,0,0,0,0,60.0,30.0,2.513,8.32162,5.6355
9,1,0,0,0,0,0,0,60.0,40.0,0.499,3.45679,6.23098
10,1,0,0,0,0,0,0,60.0,40.0,0.75,5.98897,6.47937
11,1,0,0,0,0,0,0,60.0,40.0,1.0,8.38483,6.9167
12,1,0,0,0,0,0,0,60.0,40.0,1.25,10.1234,7.48334
13,1,0,0,0,0,0,0,60.0,40.0,1.5,11.6486,8.27464
14,1,0,0,0,0,0,0,60.0,40.0,1.75,13.2974,8.85519
15,1,0,0,0,0,0,0,60.0,40.0,2.0,14.8381,9.19626
16,1,0,0,0,0,0,0,60.0,40.0,2.25,15.4631,8.87787
17,1,0,0,0,0,0,0,60.0,40.0,2.513,15.6586,8.20302
18,1,0,0,0,0,0,0,60.0,50.0,0.499,8.56629,12.6841
19,1,0,0,0,0,0,0,60.0,50.0,0.75,11.4661,12.3986
20,1,0,0,0,0,0,0,60.0,50.0,1.0,14.1796,12.2593
21,1,0,0,0,0,0,0,60.0,50.0,1.25,16.3832,12.378
22,1,0,0,0,0,0,0,60.0,50.0,1.5,18.5479,12.8866
23,1,0,0,0,0,0,0,60.0,50.0,1.75,20.6694,13.0967
24,1,0,0,0,0,0,0,60.0,50.0,2.0,22.6372,13.0891
25,1,0,0,0,0,0,0,60.0,50.0,2.25,23.6074,12.5655
26,1,0,0,0,0,0,0,60.0,50.0,2.513,23.6219,11.2
27,1,0,0,0,0,0,0,60.0,60.0,0.499,14.6924,19.9496
28,1,0,0,0,0,0,0,60.0,60.0,0.75,17.9299,19.252
29,1,0,0,0,0,0,0,60.0,60.0,1.0,20.6579,18.5802
30,1,0,0,0,0,0,0,60.0,60.0,1.25,23.7288,18.3888
31,1,0,0,0,0,0,0,60.0,60.0,1.5,26.5495,18.2397
32,1,0,0,0,0,0,0,60.0,60.0,1.75,29.0723,17.8976
33,1,0,0,0,0,0,0,60.0,60.0,2.0,31.2854,17.4007
34,1,0,0,0,0,0,0,60.0,60.0,2.25,32.3315,16.2426
35,1,0,0,0,0,0,0,60.0,60.0,2.513,32.1672,14.0727
36,1,0,0,0,0,0,0,60.0,70.0,0.499,22.0074,28.5574
37,1,0,0,0,0,0,0,60.0,70.0,0.75,25.8179,27.7243
38,1,0,0,0,0,0,0,60.0,70.0,1.0,29.1119,26.4891
39,1,0,0,0,0,0,0,60.0,70.0,1.25,32.4048,25.4235
40,1,0,0,0,0,0,0,60.0,70.0,1.5,35.8681,24.5599
41,1,0,0,0,0,0,0,60.0,70.0,1.75,38.8119,23.5865
42,1,0,0,0,0,0,0,60.0,70.0,2.0,40.9254,22.2529
43,1,0,0,0,0,0,0,60.0,70.0,2.25,41.8696,20.2128
44,1,0,0,0,0,0,0,60.0,70.0,2.513,41.6059,17.201
45,1,0,0,0,0,0,0,60.0,80.0,0.499,29.7359,37.6217
46,1,0,0,0,0,0,0,60.0,80.0,0.75,34.9077,36.8866
47,1,0,0,0,0,0,0,60.0,80.0,1.0,39.5425,35.8172
48,1,0,0,0,0,0,0,60.0,80.0,1.25,43.3294,34.1886
49,1,0,0,0,0,0,0,60.0,80.0,1.5,46.9694,32.4946
50,1,0,0,0,0,0,0,60.0,80.0,1.75,49.8865,30.6121
51,1,0,0,0,0,0,0,60.0,80.0,2.0,51.8789,28.2294
52,1,0,0,0,0,0,0,60.0,80.0,2.25,52.596,25.1325
53,1,0,0,0,0,0,0,60.0,80.0,2.513,51.9452,20.859
54,1,0,0,0,0,0,0,60.0,90.0,0.499,38.5076,47.2227
55,1,0,0,0,0,0,0,60.0,90.0,0.75,44.6804,46.6987
56,1,0,0,0,0,0,0,60.0,90.0,1.0,50.35,45.6573
57,1,0,0,0,0,0,0,60.0,90.0,1.25,55.1703,43.8211
58,1,0,0,0,0,0,0,60.0,90.0,1.5,59.0587,41.3002
59,1,0,0,0,0,0,0,60.0,90.0,1.75,61.9048,38.4031
60,1,0,0,0,0,0,0,60.0,90.0,2.0,63.5417,34.7413
61,1,0,0,0,0,0,0,60.0,90.0,2.25,63.7558,30.2923
62,1,0,0,0,0,0,0,60.0,90.0,2.513,62.7651,25.1379
63,1,0,0,0,0,0,0,60.0,100.0,0.499,47.2438,56.6786
64,1,0,0,0,0,0,0,60.0,100.0,0.75,54.6966,56.7425
65,1,0,0,0,0,0,0,60.0,100.0,1.0,61.1264,55.6041
