,L0,L1,L2,L3,L4,L5,L6,res_time,temperature,catalyst_loading,yield,turnover
0,1,0,0,0,0,0,0,60.0,30.0,0.489,17.6746,22.7174
1,1,0,0,0,0,0,0,60.0,30.0,0.75,20.7795,19.1847
2,1,0,0,0,0,0,0,60.0,30.0,1.0,23.6554,16.6761
3,1,0,0,0,0,0,0,60.0,30.0,1.25,26.401,14.7156
4,1,0,0,0,0,0,0,60.0,30.0,1.5,28.8614,13.2182
5,1,0,0,0,0,0,0,60.0,30.0,1.75,31.1601,12.1438
6,1,0,0,0,0,0,0,60.0,30.0,2.0,33.3675,11.303
7,1,0,0,0,0,0,0,60.0,30.0,2.25,35.7424,11.062
8,1,0,0,0,0,0,0,60.0,30.0,2.51,38.5248,11.499
9,1,0,0,0,0,0,0,60.0,40.0,0.489,27.3378,33.3448
10,1,0,0,0,0,0,0,60.0,40.0,0.75,30.7823,28.839
11,1,0,0,0,0,0,0,60.0,40.0,1.0,34.207,25.7399
12,1,0,0,0,0,0,0,60.0,40.0,1.25,37.6703,23.4327
13,1,0,0,0,0,0,0,60.0,40.0,1.5,40.58,21.551
14,1,0,0,0,0,0,0,60.0,40.0,1.75,43.3219,20.059
15,1,0,0,0,0,0,0,60.0,40.0,2.0,45.773,18.8373
16,1,0,0,0,0,0,0,60.0,40.0,2.25,48.1936,18.0471
17,1,0,0,0,0,0,0,60.0,40.0,2.51,50.8023,17.9961
18,1,0,0,0,0,0,0,60.0,50.0,0.489,36.4664,44.2598
19,1,0,0,0,0,0,0,60.0,50.0,0.75,40.3084,39.239
20,1,0,0,0,0,0,0,60.0,50.0,1.0,44.2211,35.1339
21,1,0,0,0,0,0,0,60.0,50.0,1.25,47.8393,32.143
22,1,0,0,0,0,0,0,60.0,50.0,1.5,51.236,29.6844
23,1,0,0,0,0,0,0,60.0,50.0,1.75,54.5151,27.6715
24,1,0,0,0,0,0,0,60.0,50.0,2.0,57.449,26.0099
25,1,0,0,0,0,0,0,60.0,50.0,2.25,60.0761,24.7195
26,1,0,0,0,0,0,0,60.0,50.0,2.51,62.3603,23.5643
27,1,0,0,0,0,0,0,60.0,60.0,0.489,45.0228,55.5032
28,1,0,0,0,0,0,0,60.0,60.0,0.75,49.4022,49.8014
29,1,0,0,0,0,0,0,60.0,60.0,1.0,53.3506,44.9925
30,1,0,0,0,0,0,0,60.0,60.0,1.25,57.2163,40.9325
31,1,0,0,0,0,0,0,60.0,60.0,1.5,60.864,37.4874
32,1,0,0,0,0,0,0,60.0,60.0,1.75,64.2162,34.572
33,1,0,0,0,0,0,0,60.0,60.0,2.0,67.2713,32.0549
34,1,0,0,0,0,0,0,60.0,60.0,2.25,70.0578,29.8856
35,1,0,0,0,0,0,0,60.0,60.0,2.51,72.3594,28.1832
36,1,0,0,0,0,0,0,60.0,70.0,0.489,52.9845,67.0294
37,1,0,0,0,0,0,0,60.0,70.0,0.75,57.4372,60.38
38,1,0,0,0,0,0,0,60.0,70.0,1.0,61.5964,54.8
39,1,0,0,0,0,0,0,60.0,70.0,1.25,65.5014,49.6757
40,1,0,0,0,0,0,0,60.0,70.0,1.5,69.1975,44.9497
41,1,0,0,0,0,0,0,60.0,70.0,1.75,72.3353,40.5414
42,1,0,0,0,0,0,0,60.0,70.0,2.0,75.4052,37.0425
43,1,0,0,0,0,0,0,60.0,70.0,2.25,77.957,34.0412
44,1,0,0,0,0,0,0,60.0,70.0,2.51,79.9386,31.5066
45,1,0,0,0,0,0,0,60.0,80.0,0.489,60.2165,78.3882
46,1,0,0,0,0,0,0,60.0,80.0,0.75,64.8489,71.2323
47,1,0,0,0,0,0,0,60.0,80.0,1.0,68.8811,64.2809
48,1,0,0,0,0,0,0,60.0,80.0,1.25,72.6029,57.5149
49,1,0,0,0,0,0,0,60.0,80.0,1.5,75.8587,51.2968
50,1,0,0,0,0,0,0,60.0,80.0,1.75,78.8179,45.967
51,1,0,0,0,0,0,0,60.0,80.0,2.0,81.3734,40.9709
52,1,0,0,0,0,0,0,60.0,80.0,2.25,83.1264,36.5669
53,1,0,0,0,0,0,0,60.0,80.0,2.51,84.5243,32.622
54,1,0,0,0,0,0,0,60.0,90.0,0.489,66.3144,89.3358
55,1,0,0,0,0,0,0,60.0,90.0,0.75,70.5932,80.9468
56,1,0,0,0,0,0,0,60.0,90.0,1.0,74.398,72.5923
57,1,0,0,0,0,0,0,60.0,90.0,1.25,77.7277,64.4751
58,1,0,0,0,0,0,0,60.0,90.0,1.5,80.573,56.9411
59,1,0,0,0,0,0,0,60.0,90.0,1.75,82.6204,49.9185
60,1,0,0,0,0,0,0,60.0,90.0,2.0,84.3901,43.6658
61,1,0,0,0,0,0,0,60.0,90.0,2.25,85.7015,37.8077
62,1,0,0,0,0,0,0,60.0,90.0,2.51,86.6845,33.0973
63,1,0,0,0,0,0,0,60.0,100.0,0.489,70.7226,98.7514
64,1,0,0,0,0,0,0,60.0,100.0,0.75,74.2413,89.0845
65,1,0,0,0,0,0,0,60.0,100.0,1.0,77.5661,79.472
66,1,0,0,0,0,0,0,60.0,100.0,1.25,80.2626,70.023
67,1,0,0,0,0,0,0,60.0,100.0,1.5,82.4168,61.2029
68,1,0,0,0,0,0,0,60.0,100.0,1.75,84.1076,53.1192
69,1,0,0,0,0,0,0,60.0,100.0,2.0,85.3167,45.734
70,1,0,0,0,0,0,0,60.0,100.0,2.25,86.4222,39.2735
71,1,0,0,0,0,0,0,60.0,100.0,2.51,87.4646,33.5286
72,1,0,0,0,0,0,0,60.0,110.0,0.489,73.1711,106.03
73,1,0,0,0,0,0,0,60.0,110.0,0.75,75.869,95.4185
